fips,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023",100yrpropriskpct_pctchange,100yrpropriskpct_sfha,100yrpropriskpct_fsf,NAME,GEOID
42003565100,0,59,inf,0.0,0.033183352080989874,5651,42003565100
42003565200,0,524,inf,0.0,0.2227891156462585,5652,42003565200
42003565300,150,362,1.4133333333333336,0.09933774834437085,0.23973509933774834,5653,42003565300
42003980000,0,26,inf,0.0,0.8387096774193549,9800,42003980000
42003980100,0,8,inf,0.0,0.7272727272727273,9801,42003980100
42003980300,0,0,,0.0,0.0,9803,42003980300
42003980400,0,5,inf,0.0,0.05952380952380952,9804,42003980400
42003980500,0,27,inf,0.0,0.75,9805,42003980500
42003980600,0,211,inf,0.0,0.8146718146718147,9806,42003980600
42003980700,0,115,inf,0.0,0.6927710843373494,9807,42003980700
42003980800,0,59,inf,0.0,0.9672131147540983,9808,42003980800
42003980900,0,91,inf,0.0,0.8053097345132744,9809,42003980900
42003981000,0,0,,0.0,0.0,9810,42003981000
42003981100,0,0,,0.0,0.0,9811,42003981100
42003981200,1,51,50.0,0.0196078431372549,1.0,9812,42003981200
42003981800,0,8,inf,0.0,0.27586206896551724,9818,42003981800
42003982200,0,9,inf,0.0,0.14754098360655737,9822,42003982200
