fips,City FIPS,City Name,State,Total Properties,Depth_1in100_NOAA,Depth_1in100_FSF2023,Depth_1in100_FSF2053,RP_1in10_FSF2023,RP_1in20_FSF2023,RP_1in50_FSF2023,RP_1in100_FSF2023,RP_1in10_FSF2053,RP_1in20_FSF2053,RP_1in50_FSF2053,RP_1in100_FSF2053,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023","Properties in FSF 100 Year Zone, 2053",Properties in FSF 100 Year Zone but Not in FEMA SFHA,"Properties in FSF 100 Year Zone but Not in FEMA SFHA, Primary Flood Source is Pluvial",Properties in FEMA SFHA but not FSF 100 Year Zone
4200100,4200100,Aaronsburg,pa,334,72,104.9,107.8,4,9,13,22,4,8,12,20,3,63,64,60,60,0
4200104,4200104,Aaronsburg,pa,259,64,84.1,86.6,5,11.5,17.5,31.5,5,10,15,27,19,45,45,26,20,0
4200116,4200116,Abbottstown,pa,366,72,113.3,116.2,3,6,10,17,3,6,9,15,6,23,23,17,17,0
4200244,4200244,Ackermanville,pa,264,76,116.5,121,4,7.2,12,21,3,6.2,10,18,24,49,49,25,25,0
4200332,4200332,Adamsburg,pa,120,65,93.4,95.9,4,8,13,22,3,7,11,20,0,12,12,12,12,0
4200364,4200364,Adamstown,pa,867,69,118.4,121.6,3,6,8,13,3,5,7.3,11.3,15,131,132,116,116,0
4200372,4200372,Adamsville,pa,75,66,88.3,91.6,6,12,17,30,5,10,15,25,0,9,9,9,9,0
4200396,4200396,Addison,pa,160,64,92.4,94.5,3,7,10,20,3,6,9,18,0,9,9,9,9,0
4200540,4200540,Akron,pa,1368,69,120.5,123.7,3,5,8,12,2,5,7,10,8,78,85,70,60,0
4200572,4200572,Alba,pa,99,51.8,87,89.9,3,6,8,12.8,3,5,7,10.8,15,50,50,37,37,2
4200628,4200628,Albion,pa,771,66,81.4,84.5,7.7,16.7,24.7,42.3,6.7,14.3,21,36.3,5,52,54,47,39,0
4200652,4200652,Albrightsville,pa,173,78,131.6,135.6,2,5,7,14,2,4,7,13,23,44,44,22,16,1
4200660,4200660,Alburtis,pa,1002,70,116.9,120.9,4,7,9,15,3,6,8,13,3,116,119,113,113,0
4200676,4200676,Aldan,pa,1604,73,117.5,122.2,4,8,11,17,4,7,9,14,0,25,25,25,25,0
4200756,4200756,Alexandria,pa,152,68,88.5,91,5,12,19,34,5,10,17,30,83,91,92,8,0,0
4200764,4200764,Alfarata,pa,91,71,107.6,110.4,3,7,11,19,3,6,10,17,1,43,44,42,28,0
4200820,4200820,Aliquippa,pa,6216,65,83.1,86.3,6.4,13.5,20.4,35.7,5.4,11.4,17.5,30.6,23,903,931,883,356,3
4200924,4200924,Alleghenyville,pa,413,69,121.7,125.4,3,5.1,7.7,11.8,3,5,7,10.1,5,31,31,27,27,1
4200980,4200980,Allenport,pa,386,66.3,105.6,108.7,2,5,8,15.3,2,5,7,13.3,4,53,53,49,48,0
4200988,4200988,Allenport,pa,453,64,81.5,83.8,6,13,20,36,5,12,18,32,158,327,327,171,11,2
4201004,4201004,Allensville,pa,221,68.1,94.5,97,4.4,9.6,15,26.6,4,8.6,13.6,24.4,0,85,85,85,85,0
4202000,4202000,Allentown,pa,33837,69.9,114.8,119,3.7,7.5,10.2,16.2,3.3,6.4,8.6,14.1,406,3478,3599,3084,2840,12
4202016,4202016,Allenwood,pa,245,59,103.4,106.2,3,5,7,11,2,4.3,6,10,31,60,63,38,25,9
4202040,4202040,Allison,pa,421,63,81.6,83.8,6,13,20,33,5,12,18,30,3,28,28,25,16,0
4202056,4202056,Allison Park,pa,8802,65,86,88.9,5.7,12,17.7,31.3,4.9,10.3,15.3,26.9,35,702,709,667,519,0
4202072,4202072,Allport,pa,138,65,91.9,94.5,4,9,13,24,4,8,11,21,3,7,7,4,4,0
4202088,4202088,Almedia,pa,546,61,98.2,100.4,4,7,10,16,4,7,9,15,45,445,467,400,0,0
4202128,4202128,Alsace Manor,pa,241,68.1,119.7,123.3,3,5.8,7.8,11.9,3,5,6.8,10.8,0,0,0,0,0,0
4202144,4202144,Altamont,pa,440,69.3,126.9,129.9,2,4,6,10,2,4,5.7,9,0,12,12,12,12,0
4202184,4202184,Altoona,pa,22416,66.9,80.2,82.6,7.6,16.3,25.2,47.3,7,14.3,22.1,41.3,434,3681,3877,3395,3297,148
4202216,4202216,Alverda,pa,196,67,82.3,84.8,7.3,15.3,23,42,6.3,14,20,37,0,14,14,14,14,0
4202264,4202264,Ambler,pa,2161,73,122.3,127.3,4,7,9,14.7,3,6,8,12.7,92,500,504,409,408,1
4202288,4202288,Ambridge,pa,3264,65,83.6,86.7,6,13,20,35,5,11,17,30,12,582,585,571,345,1
4202349,4202349,Amity Gardens,pa,1155,69,124.8,129.2,2.8,5.2,7.2,11,2.4,4.8,6.2,9.2,1,83,84,82,81,0
4202416,4202416,Ancient Oaks,pa,2292,70,115.6,119.5,4,7,10,16,3,6,9,14,114,258,279,145,132,1
4202608,4202608,Annville,pa,1360,69,120.6,123.4,2.1,5.1,7.1,11.2,2.1,4.1,6.1,10.2,34,320,322,286,201,0
4202720,4202720,Apollo,pa,803,66,89.6,92.3,5,11,16,27.7,4,9.7,14,24.7,2,174,170,172,14,0
4202752,4202752,Applewold,pa,129,66,97.5,100.9,4,8,12,20,3,7,10,17,73,126,126,53,0,0
4202826,4202826,Arcadia University,pa,4,74,124.4,129.6,3,7,9,14,3,6,8,12,0,1,1,1,1,0
4202832,4202832,Archbald,pa,3840,61.3,109.7,113.1,2.1,4.8,6.9,11.2,2,4,6,10,89,854,883,768,503,3
4202896,4202896,Ardmore,pa,4662,73,118,122.7,4,8,11,16.4,4,7,9.8,14,13,591,611,578,578,0
4202928,4202928,Arendtsville,pa,339,74,124.1,128,2,4,7,12,2,4,6,11,0,30,40,30,29,0
4202968,4202968,Aristes,pa,225,64.8,116.2,118.8,2.4,5,6.9,10.6,2,4.4,6.2,10.2,0,0,0,0,0,0
4203008,4203008,Arlington Heights,pa,2763,79.5,117.4,121.7,4,8,12.8,23.5,3,7,11.5,20.5,54,651,680,597,455,0
4203032,4203032,Armagh,pa,61,68,85.8,88.1,6,14,21,38,6,13,18,34,0,5,5,5,5,0
4203088,4203088,Arnold,pa,2322,66,97.1,100.4,3,8,11,20,3,7,10,17,0,315,328,315,313,0
4203096,4203096,Arnold City,pa,182,64,86.7,89.1,5,10,15,27,4,9,14,24,2,19,19,17,17,0
4203104,4203104,Arnot,pa,305,54,81.2,84.3,4,8,12,19,3,7,10,17,10,59,66,49,49,0
4203120,4203120,Arona,pa,212,65,92,94.5,4,9,13,24,4,8,12,21,3,55,56,52,34,0
4203264,4203264,Ashland,pa,1786,65,116.4,118.9,2.3,5,7.2,10.5,2.2,4.3,6.2,10.2,96,786,786,691,567,1
4203272,4203272,Ashley,pa,1222,65.5,99.4,102.1,4,8.3,12.5,21.5,4,7.3,11,19.5,91,634,643,549,549,6
4203296,4203296,Ashville,pa,222,68,73.9,76.2,12,24.4,39,71,10,21.4,34,62,4,28,30,24,24,0
4203312,4203312,Aspers,pa,174,73.7,123.8,127.4,2,4.3,7,12.3,2,4,6,11,13,44,46,32,20,1
4203320,4203320,Aspinwall,pa,1124,65,98.5,101.4,3,6,10,17,3,6,9,15,0,618,616,618,29,0
4203384,4203384,Atglen,pa,477,71,114.9,118.4,4,7.3,10.3,15.5,3.3,6.3,9.3,13.5,7,84,89,77,77,0
4203392,4203392,Athens,pa,1247,55.2,86.9,89.6,3.2,7.2,10.4,16.8,3,6.2,8.8,15,167,472,487,307,6,2
4203424,4203424,Atkinson Mills,pa,75,66.3,94,96.8,4,9,13.3,24.3,3,8,11.3,21.3,2,8,8,7,7,1
4203440,4203440,Atlantic,pa,72,66,87,90.3,6,12,18,31,5,10,15,27,0,0,0,0,0,0
4203464,4203464,Atlas,pa,565,63,108.7,111,3,6,8,12,3,5,7,11,1,30,30,29,27,0
4203472,4203472,Atlasburg,pa,229,66,78.6,81.6,8,18,27,47,7,15,23,40,2,15,18,13,13,0
4203480,4203480,Atwood,pa,73,66,91.7,94.6,5,10,15,26,4,9,13,23,0,7,7,7,7,0
4203488,4203488,Auburn,pa,427,69,126,129.1,2,4.8,6.8,9.8,2,4,6,9,15,61,61,46,39,0
4203544,4203544,Audubon,pa,2319,71,120.2,124.9,4,7,9.1,14.1,3,6,8,12.1,19,180,186,162,129,1
4203576,4203576,Austin,pa,384,61,81.1,84,5,11,17,31,4,10,15,27,102,216,217,115,69,1
4203608,4203608,Avalon,pa,1875,65,95.5,98.9,3.5,7.5,11.3,19.8,3,6.5,9.5,16.8,18,54,54,36,33,0
4203616,4203616,Avella,pa,523,66,88.3,91.7,5,11,16,29,4,9,14,24,55,133,135,79,22,1
4203632,4203632,Avis,pa,1321,59.3,98.3,101.5,3,6,9,13.3,3,5,8,12,174,223,230,102,102,53
4203640,4203640,Avoca,pa,1334,57.3,91.3,94,4,7.8,10.3,17.3,3,6.8,9.3,15.5,85,203,203,118,118,0
4203648,4203648,Avon,pa,716,69,119,121.8,3,6,8,12,3,5,7,11,0,153,158,153,153,0
4203656,4203656,Avondale,pa,412,73,127.6,131.5,3,5,7,11,2,4,6,10,58,158,161,100,100,0
4203676,4203676,Avonia,pa,610,66,80.4,83.4,8,16.5,24.5,44.5,7,14,21,38.5,8,24,25,19,19,3
4203688,4203688,Avonmore,pa,645,65,88.4,91,5,10.8,15.8,27.6,4.8,9.8,13.8,24.6,3,115,113,112,14,0
4203736,4203736,Baden,pa,1762,65,83.6,86.7,6,13,20,35,5,11,17,30,8,69,69,62,12,1
4203768,4203768,Baidland,pa,899,64.1,89.4,91.9,4.6,9.7,14.7,24.4,4,8.7,12.7,21.6,1,86,86,85,40,0
4203792,4203792,Baileyville,pa,106,68,100.2,102.9,4,8,11.3,21,3,7,10,19,0,10,10,10,9,0
4203800,4203800,Bainbridge,pa,590,69,126.3,129.3,2,4,5.2,9,2,3,5,8.2,35,145,150,115,46,5
4203816,4203816,Bairdford,pa,472,66,86.5,89.4,5,12,18,32,5,11,16,28,0,14,14,14,14,0
4203864,4203864,Bakerstown,pa,1003,65,86.6,89.5,5.7,11.3,17.3,30.3,5,10,15,26.3,0,61,62,61,61,0
4203895,4203895,Bala Cynwyd,pa,2576,74,119.5,124.4,4,8,10.2,16.2,3.2,6.2,9,14.2,15,307,310,293,289,1
4203904,4203904,Bald Eagle,pa,149,67.5,92.2,94.8,4.5,10,15.5,28,4,9,13.5,25,25,48,48,32,32,9
4203928,4203928,Baldwin,pa,8273,65,92.2,94.9,4,8.8,12.9,22.8,3.8,7.8,11.6,20.5,14,881,894,868,817,1
4203984,4203984,Bally,pa,480,70,131.5,136.1,2,4.5,6,9.5,2,4,5.5,8,0,90,94,90,90,0
4204032,4204032,Bangor,pa,2036,77,118.1,122.7,4,8,12,21,3,6,10,18,223,587,634,380,319,16
4204136,4204136,Barkeyville,pa,193,67,76,79,10.8,21.8,32.2,59.8,9.4,18.8,27.7,50.5,0,10,10,10,10,0
4204344,4204344,Barrville,pa,71,72.3,96.9,99.5,5,12,18,31.3,5,11,16,27.7,0,8,8,8,8,0
4204432,4204432,Bath,pa,1010,72,118.6,123.1,3,6,10,16,3,6,8,14,11,243,250,232,232,0
4204488,4204488,Baumstown,pa,232,69,124,127.6,3,5,7,11,3,4,6,10,0,11,12,11,9,0
4204568,4204568,Beallsville,pa,291,64,85.7,88.4,5,10.7,16,29.3,4.3,9.3,13.7,25,3,40,41,37,37,0
4204599,4204599,Bear Creek Village,pa,232,72.6,113.3,116.5,3,6.9,10,18.9,3,6,9,17,12,70,72,59,43,1
4204608,4204608,Bear Lake,pa,109,64,77.3,80.2,9,18,27,47,8,16,23,40,0,13,13,13,13,0
4204616,4204616,Bear Rocks,pa,1712,66,84.2,86.3,6,13.5,19.9,36,6,12.5,17.9,33,2,163,167,161,161,0
4204688,4204688,Beaver,pa,1981,65,91,94.6,4.5,9,13.5,24.5,3.5,7.8,11.3,20.3,4,164,190,160,156,0
4204768,4204768,Beaverdale,pa,750,70,82.2,84.7,7.8,16.8,26.8,51.6,6.8,14.6,23.6,45.8,9,181,189,172,118,0
4204792,4204792,Beaver Falls,pa,4233,65,95.3,99.2,3,7,11,19.1,3,6,9,16.1,264,818,846,626,226,72
4204816,4204816,Beaver Meadows,pa,448,74,131.4,135.1,2,4,7,12,2,4,6,11,0,7,8,7,7,0
4204824,4204824,Beaver Springs,pa,433,70,116,118.9,2.8,5,7.7,13,2,5,7,12,30,259,264,231,231,2
4204832,4204832,Beavertown,pa,13,67,83.3,85.9,7,15,22,40,6,13,19,35,0,3,3,3,3,0
4204848,4204848,Beavertown,pa,602,70,118.2,121.3,2,5,7,12,2,4,6,11,12,85,89,74,74,1
4204896,4204896,Bechtelsville,pa,355,70,129.3,133.8,2,5,7,10,2,4,6,9,65,153,156,89,89,1
4204944,4204944,Bedford,pa,1440,67,85.5,88.3,5.8,12,19,36,4.8,10,17,31,61,343,347,283,109,1
4204984,4204984,Beech Creek,pa,388,61,101,104.3,3,5,8,13,2,5,7,12,36,59,60,28,21,5
4205028,4205028,Beech Mountain Lakes,pa,1268,71,108.6,111.5,4,8.1,12.1,21.1,4,7.1,11,19.1,21,154,159,134,133,1
4205152,4205152,Belfast,pa,554,74.5,118.6,122.8,3,6.5,10,18,3,6,9,15.8,0,9,9,9,9,0
4205216,4205216,Bell Acres,pa,801,65,87.2,90.5,5.1,11.2,16.5,29,4.1,9.3,14.4,24.8,5,127,126,122,56,0
4205256,4205256,Bellefonte,pa,2180,65,101.1,103.9,3,6.6,9.6,17,2.3,6.1,8.6,15.7,41,435,438,394,331,0
4205288,4205288,Belle Vernon,pa,487,64,86.8,89.2,5,10,16,28,4,9,14,25,99,144,144,45,13,0
4205304,4205304,Belleville,pa,730,71.8,96.8,99.4,5,11,16.5,30.5,4.4,9.5,15,27.5,32,118,120,86,57,0
4205312,4205312,Bellevue,pa,2807,65,96.2,99.6,3,7,11,19,3,6,9,16,0,145,145,145,125,0
4205384,4205384,Bellwood,pa,851,67,83.5,85.9,6,15,22,40,6,13,19,35,18,190,206,173,0,1
4205400,4205400,Belmont,pa,1265,70,84.9,87.4,6.8,14.7,22.5,44.2,5.8,12.7,20.5,39.2,0,81,82,81,79,0
4205504,4205504,Ben Avon,pa,791,65,94.6,98.1,4,8,12,21,3,7,10,18,9,61,61,52,27,0
4205520,4205520,Ben Avon Heights,pa,167,65,94.6,98.1,4,8,12,21,3,7,10,18,0,2,2,2,2,0
4205536,4205536,Bendersville,pa,246,74,122.6,126.2,2,5,7,13,2,4,6.7,12,1,46,46,45,45,0
4205648,4205648,Benson,pa,149,68,84.2,86.7,6,13,22,40,5,12,19,35,58,56,56,0,0,2
4205672,4205672,Bentleyville,pa,1587,64,87.2,89.9,4.3,10.3,15.9,26.8,4.2,9.1,14.2,23.8,55,304,308,249,183,0
4205680,4205680,Benton,pa,378,59,107.6,110,2,4,6,9,2,4,5,8,158,339,341,186,5,5
4205776,4205776,Berlin,pa,829,66,85,87.5,5,11,18,34,4,9,16,30,0,34,35,34,34,0
4205848,4205848,Bernville,pa,393,68,128.2,131.4,2,4,6,9,2,4,5,8,11,128,132,117,70,0
4205856,4205856,Berrysburg,pa,206,65,133,136,2,2,3,6,2,2,3,5,0,17,18,17,17,0
4205888,4205888,Berwick,pa,4481,62.9,97,99.3,4.8,8.5,12.3,19.1,4,7.8,11.3,18.1,100,921,960,847,601,26
4205904,4205904,Berwyn,pa,1364,72,128.7,133.8,3,5.6,7.6,11.6,2.6,4.6,6.6,9.6,9,145,150,137,137,1
4205936,4205936,Bessemer,pa,863,65,88.2,91.8,4.7,10,15.3,27.3,4,8.7,12.7,22.7,43,60,60,17,12,0
4205976,4205976,Bethany,pa,205,58.6,100.3,103.7,3,6,8.6,13.6,3,5,7.6,11.7,3,3,3,1,1,1
4206000,4206000,Bethel,pa,213,68,120.7,123.5,3,5,7,11,3,5,6,10,1,13,13,12,12,0
4206064,4206064,Bethel Park,pa,13199,65,90.4,93.4,4,9.7,14,24.8,4,8,12,21.7,3,1630,1682,1627,1627,0
4206088,4206088,Bethlehem,pa,23292,70.2,129,133.9,2.5,4.6,6.5,10.8,2,3.9,5.7,9.3,234,3181,3290,2947,2319,0
4206171,4206171,Beurys Lake,pa,177,66,119.7,122.3,2,5,7,10,2,4,6,9,9,61,61,52,52,0
4206236,4206236,Big Bass Lake,pa,1869,72.4,117,120.8,3,6,9,17,2,5,8,15,16,151,157,139,86,4
4206240,4206240,Big Beaver,pa,1468,65,96.1,100.1,3,7,10.2,18.3,2.2,6,8.5,15.3,41,142,145,107,104,6
4206280,4206280,Bigler,pa,270,65,88.3,90.9,4.8,9.8,14.8,28,3.8,8.6,13.4,25,1,18,19,17,17,0
4206296,4206296,Biglerville,pa,458,73.3,124.3,127.9,2,4,7,12,2,4,6,10.3,0,75,75,75,75,0
4206344,4206344,Big Run,pa,391,66,85.5,88.3,6,13,20,34,5,12,17,30,170,236,236,66,19,0
4206490,4206490,Birchwood Lakes,pa,1567,69,116.8,121.5,2,5,7.3,14,2,4,6.3,12,0,87,95,87,87,0
4206496,4206496,Bird-in-Hand,pa,146,70,122.4,125.6,3,5,7,12,2,4,6,10,2,19,19,17,15,0
4206504,4206504,Birdsboro,pa,1852,69,132.5,136.4,2,4,5,8,2,3.5,5,7,34,241,246,207,92,0
4206560,4206560,Birmingham,pa,59,68,91.6,94.2,4,10,16,29,4,9,14,26,0,2,2,2,0,0
4206744,4206744,Black Lick,pa,675,66.2,88,90.4,5.2,11.6,17,30.2,4.4,10.6,15,27,9,32,32,26,25,3
4206824,4206824,Blain,pa,125,74,117.9,121.2,2,5,8,15,2,4,7,14,0,52,52,52,51,0
4206904,4206904,Blairsville,pa,1770,66,96.1,98.6,3,7,11,20,3,6,10,18,10,73,79,65,65,2
4206928,4206928,Blakely,pa,3006,60.1,107.6,110.8,2,4.8,6.8,11.1,2,4,6,10.1,80,1424,1446,1344,588,0
4206960,4206960,Blanchard,pa,369,61,101.5,104.7,3,5.2,8,13.3,2,5,7,11.5,33,57,57,30,21,6
4206976,4206976,Blandburg,pa,331,66,79.4,81.8,8,16,24,46,7,15,22,41,11,52,54,44,44,3
4206984,4206984,Blandon,pa,2573,69,118.9,122.4,3,5.9,8.5,12.9,2.9,5.5,7.5,11.5,14,551,562,537,404,0
4207000,4207000,Blawnox,pa,723,65,97.6,100.5,3,7,10.3,18.3,3,6,9,16,0,161,161,161,0,0
4207040,4207040,Bloomfield,pa,467,70,120.7,123.9,2,4,6,11,2,4,6,10,5,130,130,125,125,0
4207120,4207120,Blooming Valley,pa,214,67,89.4,92.6,6,12,18,31,5,11,16,26,2,15,16,13,13,0
4207128,4207128,Bloomsburg,pa,3259,60,102.5,104.8,3.5,6.1,8.1,12.6,3.1,5.5,7.5,11.6,390,1327,1396,939,157,2
4207160,4207160,Blossburg,pa,770,53.4,81.6,84.7,4,8,11,18.2,3,7,9.4,16,123,337,356,214,84,0
4207208,4207208,Blue Ball,pa,390,69,117.9,121,3,6,8,13,3,5,8,12,4,21,21,17,17,0
4207224,4207224,Blue Bell,pa,2747,72.4,114.3,118.8,5,9,12.1,18.2,4,7.6,10.1,15.7,9,142,148,135,135,2
4207272,4207272,Blue Knob,pa,35,68,75.9,78.3,9,22,34,63,8,19,30,55,0,0,0,0,0,0
4207312,4207312,Blue Ridge Summit,pa,369,77,120.6,124.3,2,5,8,16,2,5,7,14,0,17,17,17,17,0
4207368,4207368,Boalsburg,pa,2142,68.3,97.3,100,4.1,8.9,13.5,24.1,4,8.1,12.3,21.5,3,271,299,268,268,0
4207384,4207384,Bobtown,pa,429,63,85.3,87.6,5,9.7,15,27,4,8,13,24,0,3,3,3,3,0
4207472,4207472,Boiling Springs,pa,1339,72,123.1,126.6,2,4,6.6,12,2,4,6,11,9,208,214,203,199,4
4207480,4207480,Bolivar,pa,296,67,90.5,92.9,4.2,10.2,15.2,28.4,4,9.2,13.2,25.4,36,59,59,23,23,0
4207560,4207560,Bonneauville,pa,619,73,118.4,121.8,2,5,8,14,2,5,7,13,2,49,50,47,47,0
4207616,4207616,Boothwyn,pa,1660,74,111.1,115.6,5,10,13,21,4,8,11,18,23,203,206,180,180,0
4207688,4207688,Boston,pa,312,64,91.8,94.5,4,9,13,22,4,8,12,20,0,143,143,143,13,0
4207712,4207712,Boswell,pa,657,67,87.9,90.3,4,10,17,31,4,9,15,28,9,98,98,89,84,0
4207800,4207800,Bowers,pa,152,70,114.7,118.7,4,7,10,16,3,6,9,14,14,31,33,17,17,0
4207880,4207880,Bowmanstown,pa,451,75,127.2,131.3,2,5,8,14,2,5,7,12,40,163,173,123,100,0
4207896,4207896,Bowmansville,pa,1096,69,117.3,120.4,3.3,6.3,8.3,13.3,3,5.3,7.3,11.7,5,156,159,151,151,0
4207960,4207960,Boyertown,pa,1478,70,123.5,127.8,3,6,8,12,3,5,7,10,0,210,217,210,210,0
4207976,4207976,Brackenridge,pa,1528,66,97.6,100.6,3,8,11,20,3,7,10,17,0,498,498,498,6,0
4207992,4207992,Braddock,pa,1987,65,94.4,97.2,4,8,12,20.3,3,7,10.3,18.3,0,952,949,952,162,0
4208008,4208008,Braddock Hills,pa,1110,65,94.8,97.6,4,8,12,20,3,7,10,18,0,103,104,103,103,0
4208024,4208024,Bradenville,pa,297,66,94.4,96.8,4,8,12,22,3,7,11,20,1,12,12,11,11,0
4208040,4208040,Bradford,pa,4613,61,75.8,78.6,7,15.7,24.4,40.4,6,13.7,20.7,34.4,333,1636,1660,1308,449,5
4208064,4208064,Bradford Woods,pa,551,65,87.8,91.1,5,11,16,28,4,9,14,24,0,34,34,34,34,0
4208208,4208208,Branchdale,pa,304,68,126.7,129.5,2,4,6,9,2,4,5,8,45,185,186,140,140,0
4208240,4208240,Brandonville,pa,145,69,123.7,126.7,2.7,4.7,6.7,11.3,2,4.5,6.2,10.3,0,19,19,19,19,0
4208312,4208312,Brave,pa,225,65,82,84.6,7,14,21,37,6,12,18,32,67,89,90,23,5,1
4208392,4208392,Breinigsville,pa,1850,70,115.8,119.7,4,7,9.8,15.8,3,6,8.8,13.8,30,261,274,233,233,2
4208416,4208416,Brentwood,pa,3807,65,91.8,94.5,4,9,13,23,4,8,12,21,0,348,356,348,348,0
4208432,4208432,Bressler,pa,660,70,119.3,122.3,2.5,4.8,7.4,12.4,2,4.8,6.5,10.8,0,45,46,45,43,0
4208472,4208472,Briar Creek,pa,246,62,95.9,98,5,9,12,19,4,8,11,18,17,155,158,138,0,0
4208504,4208504,Brickerville,pa,513,69,125.2,128.2,2,5,6,10,2,4,6,9,0,18,18,18,18,0
4208568,4208568,Bridgeport,pa,1814,72,120,124.7,4,7,10,15,3,6,9,13,178,324,327,146,54,0
4208624,4208624,Bridgeville,pa,2435,65,90.7,93.8,4.4,9.4,14,24.6,3.6,7.6,12,21,18,425,430,407,310,0
4208632,4208632,Bridgewater,pa,641,65,92.9,96.7,4,8,12,22,3,7,10,18,188,524,524,337,0,1
4208744,4208744,Brisbin,pa,322,64,85.1,87.6,5,11,17,30,5,10,15,27,8,54,54,46,46,0
4208760,4208760,Bristol,pa,3816,77,123.9,129.1,3.7,7.9,10.4,16.6,3.1,6.7,8.9,14.6,272,984,1045,857,142,145
4208819,4208819,Brittany Farms-The Highlands,pa,1468,72,116.5,121.2,4,8,11,17,4,7,9,14,0,59,59,59,59,0
4208896,4208896,Broad Top City,pa,287,70.3,99,102.5,4,8,13,23.7,3,7,11,20.3,0,16,16,16,16,0
4208960,4208960,Brockway,pa,1041,64,77.9,80.6,8,17,25,44,7,15,22,38,189,343,361,172,125,18
4209000,4209000,Brodheadsville,pa,891,78,113.1,117.1,4,9,13.4,25.4,4,8,12,22.4,9,156,165,149,145,2
4209080,4209080,Brookhaven,pa,2752,73,116.6,121.3,4,8,11.2,16.2,3.2,7,9.2,14.2,17,215,220,198,152,0
4209196,4209196,Brooks Mill,pa,47,66,79.7,82.2,7,16,24,45,6,14,21,40,35,30,30,4,0,9
4209224,4209224,Brookville,pa,2127,65,81.7,84.6,7,15,22,38,6,13,19,33,51,293,293,243,86,1
4209248,4209248,Broomall,pa,4117,73,119.4,124.1,4,7.6,9.9,15.6,3.6,6.6,8.9,13.6,16,323,336,307,306,0
4209400,4209400,Brownstown,pa,435,70,87.1,89.6,6,13,21,40,5,11,18,35,0,33,33,33,33,0
4209416,4209416,Brownstown,pa,1150,69,116.7,119.7,3,6,9,13,3,5,8,12,45,149,163,107,95,3
4209432,4209432,Brownsville,pa,1561,63,81.6,83.9,6,13,19.8,32.8,5,11.8,17.8,29.8,192,456,479,264,5,0
4209496,4209496,Browntown,pa,742,58.8,94.1,96.6,3.3,7.2,10.3,17.5,3,6.3,9.3,15.5,0,129,129,129,129,0
4209528,4209528,Bruin,pa,315,66,80.9,84,9,17.3,25.5,43.7,7.2,15.2,22.3,37.5,15,79,83,64,29,0
4209696,4209696,Bryn Athyn,pa,423,75.2,120.3,125.2,4,7.9,10.4,17.4,3.3,6.9,9,14.9,15,58,58,43,43,0
4209728,4209728,Bryn Mawr,pa,1536,73,121.5,126.3,3.3,6.7,9.7,14.7,3.3,5.7,7.7,12.7,0,106,117,106,106,0
4209792,4209792,Buckhorn,pa,191,60,104.3,106.7,3,6,8,12,3,5,7,11,0,5,5,5,5,0
4209896,4209896,Buck Run,pa,131,67.1,125.8,128.6,2,4,5.9,8.9,2,3.9,5,7.9,0,5,5,5,5,0
4210096,4210096,Buffington,pa,200,63,79.4,81.5,7,15,22,37,6,13,20,33,1,11,11,10,10,0
4210128,4210128,Bulger,pa,234,65.5,78.1,81.1,8.3,17.8,26.7,47.5,7,15.7,22.7,40.5,0,21,21,21,21,0
4210224,4210224,Burgettstown,pa,921,66,81.3,84.5,7,16,23,41,6,13,20,35,22,214,214,192,118,0
4210240,4210240,Burlington,pa,72,54,81,83.5,5,9,12,20,4,8,11,18,12,49,48,37,4,0
4210256,4210256,Burnham,pa,968,72,107.7,110.6,3,7.2,11.2,20.2,3,6.2,10,18.2,90,173,175,84,77,1
4210280,4210280,Burnside,pa,218,66,82.7,85.3,7,15,22,38.8,6,13,19.8,33.8,79,59,60,3,0,23
4210464,4210464,Butler,pa,5787,65,84.7,87.9,6,13,19,33,5,11,16,28.2,471,1301,1365,843,364,13
4210600,4210600,Byrnedale,pa,341,64,83.6,86.3,5,11,17,33,5,10,15,29,31,72,72,41,18,0
4210720,4210720,Cairnbrook,pa,345,68,74.3,76.6,10,24,38,69,9,21,33,61,0,1,2,1,1,0
4210768,4210768,California,pa,2056,64,82.7,85,6,12.5,18.6,33.8,5,11.1,16.6,29.8,326,652,658,326,114,0
4210792,4210792,Callensburg,pa,128,66,77.8,80.8,11,21,30,52,9,18,26,44,1,1,1,0,0,0
4210800,4210800,Callery,pa,198,65,84.2,87.3,6,13,18.9,33.8,5,11,16.9,28.9,13,28,29,16,12,1
4210808,4210808,Callimont,pa,133,65,89.2,91.9,4,8.1,13.1,26.2,3,7.1,12.1,22.3,1,5,5,4,4,0
4210816,4210816,Caln,pa,665,71,123.4,127.2,3,6,8,12,3,5,7,11,38,99,103,64,64,3
4210832,4210832,Calumet,pa,644,65,88.8,91,5,10.6,15.6,27.2,4.2,9.6,14,24.6,36,81,84,45,36,0
4210912,4210912,Cambridge Springs,pa,784,67,79.9,82.8,8.8,19.6,28.6,48.4,7.8,16.8,24.6,41.4,66,80,82,29,28,15
4210960,4210960,Campbelltown,pa,1951,69,114.9,117.5,3,5.9,8,13.9,2.9,5,7.5,12.5,38,116,120,85,85,7
4211000,4211000,Camp Hill,pa,3075,70,117.4,120.4,3,5,8,13,2,5,7,12,18,328,334,310,292,0
