fips,City FIPS,City Name,State,Total Properties,Depth_1in100_NOAA,Depth_1in100_FSF2023,Depth_1in100_FSF2053,RP_1in10_FSF2023,RP_1in20_FSF2023,RP_1in50_FSF2023,RP_1in100_FSF2023,RP_1in10_FSF2053,RP_1in20_FSF2053,RP_1in50_FSF2053,RP_1in100_FSF2053,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023","Properties in FSF 100 Year Zone, 2053",Properties in FSF 100 Year Zone but Not in FEMA SFHA,"Properties in FSF 100 Year Zone but Not in FEMA SFHA, Primary Flood Source is Pluvial",Properties in FEMA SFHA but not FSF 100 Year Zone
4274744,4274744,Strausstown,pa,165,68,122.6,125.7,3,5,7,11,2,4,6,10,0,5,5,5,5,0
4274848,4274848,Strodes Mills,pa,385,72,103,105.7,4,8.4,13.4,24,3,7.4,11.4,21,13,98,99,85,85,0
4274864,4274864,Strong,pa,87,63,107.4,109.7,3.3,6.3,8.3,12.6,3,5.3,7.3,11.6,0,8,8,8,8,0
4274888,4274888,Stroudsburg,pa,2049,79,117.6,122.2,3.9,7.9,12.3,22.9,3,6.9,10.9,19.9,86,688,708,602,224,0
4274944,4274944,Sturgeon,pa,875,65,83,85.9,7,14,20,36,6,12,18,31,1,165,166,164,110,0
4275000,4275000,Sugarcreek,pa,3097,66,85,88.3,6.9,14.1,20.4,35.4,5.9,11.9,17.6,30.2,188,501,506,322,161,9
4275024,4275024,Sugar Grove,pa,289,64,82.8,85.9,6.5,13.5,20.5,35.5,5.5,11.5,17.5,30,10,116,115,109,108,3
4275072,4275072,Sugar Notch,pa,542,65.8,103.2,106.1,3.6,7.6,11.2,19,3.6,6.6,9.8,17.4,0,65,65,65,65,0
4275136,4275136,Summerhill,pa,328,69,84.3,86.8,7,15,24,43,6,13,21,38,5,121,130,116,73,0
4275168,4275168,Summerville,pa,394,66,78.5,81.4,9,20,29,49,8,17,25,42,87,151,151,64,3,0
4275248,4275248,Summit Hill,pa,1654,74.5,137.1,140.9,2,3.9,5.9,10.4,2,3.8,5.3,9,3,102,104,100,100,1
4275272,4275272,Summit Station,pa,143,69,128.2,131.3,2,4,6,9,2,4,5,8.8,5,49,49,44,44,0
4275296,4275296,Sunbrook,pa,184,66,77.6,80.1,8.7,18,27,51,7.7,16,24,45,3,9,10,6,3,0
4275304,4275304,Sunbury,pa,3828,61.1,101.2,103.6,3,6.6,9,13.7,3,6,8,12.1,66,1508,1570,1445,1429,3
4275381,4275381,Sunrise Lake,pa,949,68.6,120.5,125.3,2,4,6.5,12.6,2,3.5,5.5,10.6,0,63,64,63,63,0
4275432,4275432,Sun Valley,pa,1516,79.5,138.2,143.1,2,4,6.9,12.5,2,4,6,11,0,119,125,119,119,0
4275568,4275568,Susquehanna Depot,pa,753,54,95.4,98.5,3,6,7,12,3,5,7,10,13,102,105,89,84,0
4275574,4275574,Susquehanna Trails,pa,1300,72,129.7,132.9,2,4,5.6,9,2,3.6,5,8,12,206,208,194,147,0
4275584,4275584,Sutersville,pa,311,64,89.8,92.3,4.1,10.1,15.1,24.3,4,9,13.1,21.3,95,137,136,42,7,0
4275648,4275648,Swarthmore,pa,1465,73,116.7,121.4,4,7.8,10.8,16.6,3.6,6.8,9.2,14,29,122,123,98,96,5
4275664,4275664,Swartzville,pa,901,69,114.9,117.9,3.7,6.7,9.4,14.4,3,5.7,8.7,12.7,0,54,56,54,54,0
4275712,4275712,Swedeland,pa,743,72.3,120,124.7,4,7,10,15.3,3,6,9,13,15,62,62,47,31,0
4275728,4275728,Sweden Valley,pa,117,61,86.4,89.6,4,9,13,24,3,7,11,21,21,63,64,43,38,1
4275816,4275816,Swissvale,pa,4077,65,94.7,97.5,4,8,12,20,3,7,10,18,2,126,126,124,119,0
4275832,4275832,Swoyersville,pa,2580,61,91.5,94,5,9.4,13.4,22,4,8.4,12.4,20,20,1054,1069,1036,105,2
4275888,4275888,Sykesville,pa,629,65,84.9,87.8,6,12.4,18.4,32.8,5,11,16.4,28.4,54,124,126,71,41,1
4275936,4275936,Sylvan Hills,pa,362,66,77.6,80.1,9,18,27,51,8,16,24,45,0,4,4,4,4,0
4275944,4275944,Sylvania,pa,103,54,83.8,86.7,4,7.5,10.5,17,3.5,6.5,9,15,13,46,48,33,33,0
4275968,4275968,Table Rock,pa,55,73,124.3,127.9,2,4,7,12,2,4,6,10,1,8,8,7,6,0
4276032,4276032,Tamaqua,pa,3465,72.8,131.8,135.5,2.6,4.8,6.8,10.8,2,4,5.9,9.8,220,1139,1139,919,431,0
4276104,4276104,Tarentum,pa,2193,66,97.2,100.4,3,8,11.2,20,3,7,10,17,0,791,787,791,5,0
4276144,4276144,Tatamy,pa,477,73.5,125.8,130.5,2,5,8,13.5,2,5,7,12,8,41,42,33,19,0
4276184,4276184,Taylor,pa,2247,58.3,99.6,102.6,3.1,5.8,8.1,13.5,2.6,5.1,7.1,12.2,16,211,214,196,193,1
4276232,4276232,Taylorstown,pa,137,65,81,83.9,7,16,24,39,6,14,21,34,11,26,26,15,5,0
4276304,4276304,Telford,pa,2266,71,115.3,119.8,4,8,11,17,4,7,9,14,0,124,130,124,124,0
4276320,4276320,Temple,pa,696,68,124.7,128.3,3,5,7,10,2,4,6,9,14,138,141,127,127,3
4276336,4276336,Templeton,pa,225,66,79.4,82.1,10,19,28,47,8,17,24,41,9,117,117,108,8,0
4276400,4276400,Terre Hill,pa,513,69,115.1,118.2,4,7,9,14,3,6,8,13,0,12,14,12,12,0
4276432,4276432,Tharptown,pa,314,62,97.1,99.2,5,9,12,18,4,8,11,16,9,312,312,303,0,0
4276440,4276440,The Hideout,pa,4332,62.5,103.6,106.9,3,6,9,15.4,2.6,5.5,8,13.7,44,234,242,208,208,18
4276496,4276496,Thompson,pa,150,57,98.2,101.4,3,6,8,13,3,5,7,11,3,45,51,42,42,0
4276536,4276536,Thompsontown,pa,249,69.9,117.4,120.3,2,4.3,7.4,12.6,2,4.2,6.4,11.6,19,63,64,44,30,0
4276552,4276552,Thompsonville,pa,1609,65,88.1,91.1,5,10,15.3,27.3,4,9,13,23.9,8,146,161,139,116,1
4276560,4276560,Thornburg,pa,245,65,92.8,95.9,4,8,13,22,3,7,11,19,0,11,13,11,0,0
4276584,4276584,Thorndale,pa,1323,71,131.3,135.6,3,5,6,10,2,4,5.8,8.4,16,204,218,189,186,1
4276632,4276632,Three Springs,pa,265,70,97.3,100.6,4,8.8,14,26,3,7.2,12,22.2,3,72,73,69,56,0
4276648,4276648,Throop,pa,2005,61.4,112.7,116.1,2,4.1,6,10.2,2,3.6,5.5,9.1,66,418,425,354,306,2
4276696,4276696,Tidioute,pa,392,64,80.4,83.4,8,17,25,40,7,15,21,34,66,181,180,115,2,0
4276724,4276724,Timber Hills,pa,176,69,116.3,119.1,3,6,8,12.7,2.7,5,7.7,11.7,1,9,9,8,8,0
4276744,4276744,Timblin,pa,151,66,87.3,90.2,6,12.8,18.6,31.6,5.8,10.8,15.8,27.6,12,56,57,44,27,0
4276808,4276808,Tioga,pa,222,57,88.9,92.3,3,6,10,17,2,5,8,14,1,221,221,220,0,0
4276848,4276848,Tionesta,pa,358,65,85,88.2,7,13.2,20,34,6,12,17,29,0,217,216,217,5,0
4276880,4276880,Tipton,pa,419,67,89,91.6,5,11,16,30,4,10,14,27,24,26,27,18,16,16
4276904,4276904,Titusville,pa,2829,66,80.7,83.7,9,18,26,44.9,8,15.9,22.9,38,409,880,906,520,456,49
4277016,4277016,Toftrees,pa,564,66,98.1,100.8,3.6,7,11,20,3,7,10,18,2,30,30,29,29,1
4277104,4277104,Topton,pa,782,70,115,119,4,7,10,16,3,6,9,14,7,94,99,87,87,0
4277144,4277144,Toughkenamon,pa,423,73,127.2,131.2,3,5,7,11,2,4,6,10,4,47,47,43,43,0
4277163,4277163,Towamensing Trails,pa,4298,79,131.9,136,2,5,7.9,14.9,2,4,6.9,12.9,12,202,208,190,189,0
4277168,4277168,Towanda,pa,1316,54,83.3,85.7,4.5,7.5,11,18,3.5,6.5,10,16,23,229,232,206,129,0
4277184,4277184,Tower City,pa,671,66,125.2,127.9,2,3,5,8,2,3,5,7,0,63,64,63,63,0
4277232,4277232,Townville,pa,182,67,88.3,91.5,6,13,19,32,5,11,16,28,3,24,26,21,21,0
4277272,4277272,Trafford,pa,1691,65,94.6,97.3,4,8,12,20.8,3,7,10,18,38,329,330,291,204,0
4277288,4277288,Trainer,pa,839,74,115.2,119.8,4.4,8.6,11.6,18.6,3.6,7,9.8,16,37,72,82,44,35,9
4277304,4277304,Trappe,pa,1623,70,118.3,122.9,4,7,9,14,3,6,8,12,5,101,105,97,97,1
4277335,4277335,Treasure Lake,pa,8698,64,80.4,83,7.1,15.1,22.3,38.6,6.2,13.1,19.3,34.4,95,433,449,360,360,22
4277392,4277392,Tremont,pa,798,66,126.2,129,2,4,5,8,2,3.7,5,8,186,541,544,356,356,1
4277424,4277424,Tresckow,pa,486,73,129,132.6,2.6,5,7,12,2,4,6,11,0,8,8,8,8,0
4277448,4277448,Trevorton,pa,1126,62.5,101.5,103.7,3.8,7.1,9.6,14.8,3.3,6.3,8.6,13.6,33,175,175,143,142,1
4277456,4277456,Trevose,pa,1220,76,119.1,124.1,4.5,8.5,11.5,18.5,4,7,10,16,10,67,67,58,58,1
4277488,4277488,Trexlertown,pa,558,70,115.6,119.5,4,7,10,16,3,6,9,14,29,70,71,53,47,12
4277520,4277520,Trooper,pa,2546,71,118.7,123.4,4,7.4,9.7,14.7,3.4,6.4,8.4,12.7,0,179,182,179,179,0
4277568,4277568,Troutville,pa,139,65,84.6,87.5,6,13,19,33.5,5,11,16.5,28.5,0,4,4,4,4,0
4277576,4277576,Troxelville,pa,157,69,112.5,115.5,3,5.5,8.5,14,2,5,7.5,13,0,46,46,46,46,0
